dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,0,class_0,200,0.8275862068965517,0.48,0.6075949367088608
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,1,class_1,200,0.75,0.93,0.8303571428571428
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,2,class_2,200,0.6595744680851063,0.31,0.42176870748299317
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,3,class_3,200,0.7710280373831776,0.825,0.7971014492753623
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,4,class_4,200,0.7383177570093458,0.79,0.7632850241545893
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,5,class_5,200,0.657258064516129,0.815,0.7276785714285714
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,6,class_6,200,0.7309644670050761,0.72,0.72544080604534
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,7,class_7,200,0.7880184331797235,0.855,0.8201438848920863
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,8,class_8,200,0.9444444444444444,0.935,0.9396984924623116
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,9,class_9,200,0.8135593220338984,0.48,0.6037735849056604
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,10,class_10,200,0.6026936026936027,0.895,0.7203219315895373
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,11,class_11,200,0.7028985507246377,0.97,0.8151260504201681
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,12,class_12,200,0.9123711340206185,0.885,0.8984771573604061
dbpedia_14,8,0.0,symmetric,multinomial_nb,404,13,class_13,200,0.7810650887573964,0.66,0.7154471544715447
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,0,class_0,200,0.6530612244897959,0.48,0.553314121037464
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,1,class_1,200,0.7449392712550608,0.92,0.8232662192393737
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,2,class_2,200,0.5957446808510638,0.56,0.577319587628866
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,3,class_3,200,0.8846153846153846,0.805,0.8429319371727748
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,4,class_4,200,0.7511520737327189,0.815,0.7817745803357314
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,5,class_5,200,0.7560975609756098,0.775,0.7654320987654322
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,6,class_6,200,0.683982683982684,0.79,0.7331786542923433
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,7,class_7,200,0.9314285714285714,0.815,0.8693333333333332
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,8,class_8,200,0.9468599033816425,0.98,0.9631449631449631
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,9,class_9,200,0.8778625954198473,0.575,0.6948640483383686
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,10,class_10,200,0.615916955017301,0.89,0.7280163599182005
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,11,class_11,200,0.7439024390243902,0.915,0.8206278026905829
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,12,class_12,200,0.8036529680365296,0.88,0.8400954653937948
dbpedia_14,8,0.0,symmetric,multinomial_nb,505,13,class_13,200,0.853448275862069,0.495,0.6265822784810127
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,0,class_0,200,1.0,0.015,0.02955665024630542
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,1,class_1,200,0.967479674796748,0.595,0.736842105263158
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,2,class_2,200,1.0,0.005,0.009950248756218907
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,3,class_3,200,0.9824561403508771,0.56,0.7133757961783439
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,4,class_4,200,0.9,0.045,0.08571428571428572
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,5,class_5,200,1.0,0.025,0.04878048780487806
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,6,class_6,200,0.16705882352941176,0.71,0.2704761904761905
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,7,class_7,200,0.28405797101449276,0.98,0.4404494382022472
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,8,class_8,200,0.9944444444444445,0.895,0.9421052631578948
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,9,class_9,200,0.765625,0.245,0.37121212121212116
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,10,class_10,200,0.5978260869565217,0.275,0.3767123287671233
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,11,class_11,200,0.9608938547486033,0.86,0.9076517150395778
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,12,class_12,200,0.8508771929824561,0.97,0.9065420560747663
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,101,13,class_13,200,0.5478927203065134,0.715,0.6203904555314533
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,0,class_0,200,0.0,0.0,0.0
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,1,class_1,200,0.9050632911392406,0.715,0.7988826815642459
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,2,class_2,200,1.0,0.005,0.009950248756218907
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,3,class_3,200,1.0,0.13,0.23008849557522126
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,4,class_4,200,0.3716475095785441,0.97,0.5373961218836565
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,202,5,class_5,200,1.0,0.3,0.4615384615384615
