dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_runtime_seconds,eval_runtime_seconds,epochs,requested_train_batch_size,effective_train_batch_size,requested_eval_batch_size,effective_eval_batch_size,train_batches,eval_batches,peak_memory_allocated_mib,effective_device,mean_train_loss,train_counts,source_kind,method_family,fit_notes
ag_news,16,0.05,symmetric,distilbert_base_uncased,505,64,800,4,0.03125,0.52375,0.45024870186138277,0.5773570537567139,0.18657135963439941,0.28828907012939453,3,32,32,64,64,6,13,1964.08,cuda:0,1.3591651916503906,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.1,symmetric,distilbert_base_uncased,101,64,800,4,0.140625,0.6,0.5928752780205144,0.5933194160461426,0.17817950248718262,0.31279945373535156,3,32,32,64,64,6,13,1944.77,cuda:0,1.339823345343272,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.1,symmetric,distilbert_base_uncased,202,64,800,4,0.140625,0.2575,0.11879790791277027,0.5949387550354004,0.19220542907714844,0.2973973751068115,3,32,32,64,64,6,13,2106.5,cuda:0,1.365342100461324,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.1,symmetric,distilbert_base_uncased,303,64,800,4,0.1875,0.43125,0.3405299774271901,0.5625903606414795,0.16782426834106445,0.29471540451049805,3,32,32,64,64,6,13,1811.22,cuda:0,1.351881980895996,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.1,symmetric,distilbert_base_uncased,404,64,800,4,0.15625,0.49,0.47850759584822256,0.5708916187286377,0.1715526580810547,0.2927408218383789,3,32,32,64,64,6,13,1975.66,cuda:0,1.350089152654012,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.1,symmetric,distilbert_base_uncased,505,64,800,4,0.125,0.57,0.47891788618587555,0.5794956684112549,0.1838245391845703,0.28850412368774414,3,32,32,64,64,6,13,1965.39,cuda:0,1.3641994992891948,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.2,symmetric,distilbert_base_uncased,101,64,800,4,0.1875,0.50875,0.4398536901982349,0.5973963737487793,0.17652678489685059,0.31464147567749023,3,32,32,64,64,6,13,1947.89,cuda:0,1.3378326495488484,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.2,symmetric,distilbert_base_uncased,202,64,800,4,0.296875,0.34,0.2552783057339633,0.5951769351959229,0.19212865829467773,0.29714012145996094,3,32,32,64,64,6,13,2104.33,cuda:0,1.3813234170277913,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.2,symmetric,distilbert_base_uncased,303,64,800,4,0.21875,0.58375,0.513462105767164,0.5735788345336914,0.16585063934326172,0.3046760559082031,3,32,32,64,64,6,13,1812.88,cuda:0,1.3567961653073628,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
ag_news,16,0.2,symmetric,distilbert_base_uncased,404,64,800,4,0.203125,0.4675,0.4130921735662954,0.5703291893005371,0.17766165733337402,0.2896687984466553,3,32,32,64,64,6,13,1977.05,cuda:0,1.3551260232925415,"{""0"": 16, ""1"": 16, ""2"": 16, ""3"": 16}",cached_setfit_jsonl,pretrained_transformer,3_epochs_local_cache_maxlen_128
