dataset,budget_per_class,noise_rate,noise_type,method,seed,status,old_accuracy,new_accuracy,delta_accuracy,old_macro_f1,new_macro_f1,delta_macro_f1
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,202,compared,0.8785714285714286,0.8785714285714286,0.0,0.8733002721375916,0.8733002721375916,0.0
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,303,compared,0.8782142857142857,0.8782142857142857,0.0,0.8749863839483328,0.8749863839483328,0.0
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,404,compared,0.87,0.87,0.0,0.8666935301163324,0.8666935301163324,0.0
dbpedia_14,128,0.0,symmetric,linear_svm_hinge,505,compared,0.8575,0.8575,0.0,0.8531142183125127,0.8531142183125127,0.0
trec_qc,8,0.0,class_conditional,linear_svm_hinge,101,compared,0.358,0.358,0.0,0.36309209465474185,0.36309209465474185,0.0
trec_qc,8,0.0,class_conditional,linear_svm_hinge,202,compared,0.54,0.54,0.0,0.4637654730568505,0.4637654730568505,0.0
trec_qc,8,0.0,class_conditional,linear_svm_hinge,303,compared,0.546,0.546,0.0,0.5333462076881296,0.5333462076881296,0.0
trec_qc,8,0.0,class_conditional,linear_svm_hinge,404,compared,0.504,0.504,0.0,0.4650535221094469,0.4650535221094469,0.0
trec_qc,8,0.0,class_conditional,linear_svm_hinge,505,compared,0.35,0.35,0.0,0.33556317355818926,0.33556317355818926,0.0
trec_qc,8,0.0,symmetric,linear_svm_hinge,101,compared,0.358,0.358,0.0,0.36309209465474185,0.36309209465474185,0.0
trec_qc,8,0.0,symmetric,linear_svm_hinge,202,compared,0.54,0.54,0.0,0.4637654730568505,0.4637654730568505,0.0
trec_qc,8,0.0,symmetric,linear_svm_hinge,303,compared,0.546,0.546,0.0,0.5333462076881296,0.5333462076881296,0.0
trec_qc,8,0.0,symmetric,linear_svm_hinge,404,compared,0.504,0.504,0.0,0.4650535221094469,0.4650535221094469,0.0
trec_qc,8,0.0,symmetric,linear_svm_hinge,505,compared,0.35,0.35,0.0,0.33556317355818926,0.33556317355818926,0.0
trec_qc,16,0.0,class_conditional,linear_svm_hinge,101,compared,0.412,0.412,0.0,0.4275038388474184,0.4275038388474184,0.0
trec_qc,16,0.0,class_conditional,linear_svm_hinge,202,compared,0.382,0.382,0.0,0.37809980847006797,0.37809980847006797,0.0
trec_qc,16,0.0,class_conditional,linear_svm_hinge,303,compared,0.492,0.492,0.0,0.4537022105359841,0.4537022105359841,0.0
trec_qc,16,0.0,class_conditional,linear_svm_hinge,404,compared,0.6,0.6,0.0,0.5274172100026713,0.5274172100026713,0.0
trec_qc,16,0.0,class_conditional,linear_svm_hinge,505,compared,0.366,0.366,0.0,0.35902812696584707,0.35902812696584707,0.0
