dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,std_macro_f1,n_seeds
dbpedia_14,16,0.3,symmetric,trimmed_softmax_logreg,0.446664,0.024876,5
dbpedia_14,32,0.0,class_conditional,linear_svm_hinge,0.763089,0.043643,5
dbpedia_14,32,0.0,class_conditional,multinomial_nb,0.866172,0.007999,5
dbpedia_14,32,0.0,class_conditional,softmax_logreg,0.862654,0.009239,5
dbpedia_14,32,0.0,class_conditional,trimmed_softmax_logreg,0.644863,0.014759,5
dbpedia_14,32,0.0,symmetric,linear_svm_hinge,0.763089,0.043643,5
dbpedia_14,32,0.0,symmetric,multinomial_nb,0.866172,0.007999,5
dbpedia_14,32,0.0,symmetric,softmax_logreg,0.862654,0.009239,5
dbpedia_14,32,0.0,symmetric,trimmed_softmax_logreg,0.644863,0.014759,5
dbpedia_14,32,0.05,class_conditional,linear_svm_hinge,0.745649,0.048928,5
dbpedia_14,32,0.05,class_conditional,multinomial_nb,0.850228,0.008605,5
dbpedia_14,32,0.05,class_conditional,softmax_logreg,0.829979,0.013501,5
dbpedia_14,32,0.05,class_conditional,trimmed_softmax_logreg,0.595753,0.032921,5
dbpedia_14,32,0.05,symmetric,linear_svm_hinge,0.732574,0.054246,5
dbpedia_14,32,0.05,symmetric,multinomial_nb,0.856515,0.010277,5
dbpedia_14,32,0.05,symmetric,softmax_logreg,0.838085,0.012718,5
dbpedia_14,32,0.05,symmetric,trimmed_softmax_logreg,0.623571,0.050425,5
dbpedia_14,32,0.1,class_conditional,linear_svm_hinge,0.756230,0.033273,5
dbpedia_14,32,0.1,class_conditional,multinomial_nb,0.832388,0.008118,5
dbpedia_14,32,0.1,class_conditional,softmax_logreg,0.792653,0.031360,5
dbpedia_14,32,0.1,class_conditional,trimmed_softmax_logreg,0.596359,0.034179,5
dbpedia_14,32,0.1,symmetric,linear_svm_hinge,0.697828,0.054050,5
dbpedia_14,32,0.1,symmetric,multinomial_nb,0.844593,0.008647,5
dbpedia_14,32,0.1,symmetric,softmax_logreg,0.807160,0.011357,5
dbpedia_14,32,0.1,symmetric,trimmed_softmax_logreg,0.629064,0.023742,5
dbpedia_14,32,0.2,class_conditional,linear_svm_hinge,0.684467,0.023135,5
dbpedia_14,32,0.2,class_conditional,multinomial_nb,0.773547,0.027430,5
dbpedia_14,32,0.2,class_conditional,softmax_logreg,0.720501,0.055542,5
dbpedia_14,32,0.2,class_conditional,trimmed_softmax_logreg,0.533875,0.036555,5
dbpedia_14,32,0.2,symmetric,linear_svm_hinge,0.745121,0.046078,5
dbpedia_14,32,0.2,symmetric,multinomial_nb,0.816454,0.021123,5
dbpedia_14,32,0.2,symmetric,softmax_logreg,0.776385,0.048682,5
dbpedia_14,32,0.2,symmetric,trimmed_softmax_logreg,0.563713,0.058670,5
dbpedia_14,32,0.3,class_conditional,linear_svm_hinge,0.614294,0.040252,5
dbpedia_14,32,0.3,class_conditional,multinomial_nb,0.672344,0.019382,5
dbpedia_14,32,0.3,class_conditional,softmax_logreg,0.600727,0.034434,5
dbpedia_14,32,0.3,class_conditional,trimmed_softmax_logreg,0.452443,0.044051,5
dbpedia_14,32,0.3,symmetric,linear_svm_hinge,0.572908,0.031226,5
dbpedia_14,32,0.3,symmetric,multinomial_nb,0.790530,0.008597,5
dbpedia_14,32,0.3,symmetric,softmax_logreg,0.688249,0.034922,5
dbpedia_14,32,0.3,symmetric,trimmed_softmax_logreg,0.507410,0.034914,5
dbpedia_14,64,0.0,class_conditional,linear_svm_hinge,0.808542,0.022351,5
dbpedia_14,64,0.0,class_conditional,multinomial_nb,0.894587,0.006673,5
dbpedia_14,64,0.0,class_conditional,softmax_logreg,0.889311,0.001469,5
dbpedia_14,64,0.0,class_conditional,trimmed_softmax_logreg,0.663750,0.019928,5
dbpedia_14,64,0.0,symmetric,linear_svm_hinge,0.808542,0.022351,5
dbpedia_14,64,0.0,symmetric,multinomial_nb,0.894587,0.006673,5
dbpedia_14,64,0.0,symmetric,softmax_logreg,0.889311,0.001469,5
dbpedia_14,64,0.0,symmetric,trimmed_softmax_logreg,0.663750,0.019928,5
dbpedia_14,64,0.05,class_conditional,linear_svm_hinge,0.840171,0.013921,5
dbpedia_14,64,0.05,class_conditional,multinomial_nb,0.883403,0.004842,5
dbpedia_14,64,0.05,class_conditional,softmax_logreg,0.858665,0.020957,5
dbpedia_14,64,0.05,class_conditional,trimmed_softmax_logreg,0.667100,0.079007,5
dbpedia_14,64,0.05,symmetric,linear_svm_hinge,0.827207,0.020315,5
dbpedia_14,64,0.05,symmetric,multinomial_nb,0.885825,0.005520,5
dbpedia_14,64,0.05,symmetric,softmax_logreg,0.876273,0.008733,5
dbpedia_14,64,0.05,symmetric,trimmed_softmax_logreg,0.677118,0.032958,5
dbpedia_14,64,0.1,class_conditional,linear_svm_hinge,0.814974,0.034131,5
dbpedia_14,64,0.1,class_conditional,multinomial_nb,0.872183,0.009920,5
dbpedia_14,64,0.1,class_conditional,softmax_logreg,0.843637,0.027683,5
dbpedia_14,64,0.1,class_conditional,trimmed_softmax_logreg,0.616794,0.042761,5
dbpedia_14,64,0.1,symmetric,linear_svm_hinge,0.796687,0.025005,5
dbpedia_14,64,0.1,symmetric,multinomial_nb,0.882105,0.004669,5
dbpedia_14,64,0.1,symmetric,softmax_logreg,0.855374,0.013887,5
dbpedia_14,64,0.1,symmetric,trimmed_softmax_logreg,0.656356,0.056543,5
dbpedia_14,64,0.2,class_conditional,linear_svm_hinge,0.789852,0.024752,5
dbpedia_14,64,0.2,class_conditional,multinomial_nb,0.829904,0.005181,5
dbpedia_14,64,0.2,class_conditional,softmax_logreg,0.795375,0.029737,5
dbpedia_14,64,0.2,class_conditional,trimmed_softmax_logreg,0.559436,0.067133,5
