dataset,budget_per_class,noise_rate,noise_type,method,seed,label,label_name,clean_support,precision,recall,f1
ag_news,8,0.0,symmetric,softmax_logreg,505,2,2,200,0.5447761194029851,0.365,0.437125748502994
ag_news,8,0.0,symmetric,softmax_logreg,505,3,3,200,0.4508670520231214,0.39,0.41823056300268097
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,101,0,0,200,0.42857142857142855,0.24,0.30769230769230765
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,101,1,1,200,0.8461538461538461,0.055,0.10328638497652581
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,101,2,2,200,0.37626262626262624,0.745,0.5
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,101,3,3,200,0.3333333333333333,0.465,0.3883089770354906
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,202,0,0,200,0.5535714285714286,0.31,0.3974358974358974
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,202,1,1,200,0.40963855421686746,0.68,0.5112781954887219
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,202,2,2,200,0.5378151260504201,0.32,0.40125391849529785
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,202,3,3,200,0.47257383966244726,0.56,0.5125858123569795
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,303,0,0,200,0.4223826714801444,0.585,0.49056603773584906
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,303,1,1,200,0.5737051792828686,0.72,0.6385809312638581
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,303,2,2,200,0.48905109489051096,0.335,0.39762611275964393
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,303,3,3,200,0.4148148148148148,0.28,0.33432835820895523
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,404,0,0,200,0.5160142348754448,0.725,0.6029106029106029
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,404,1,1,200,0.6736111111111112,0.485,0.563953488372093
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,404,2,2,200,0.5157894736842106,0.245,0.3322033898305085
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,404,3,3,200,0.4607142857142857,0.645,0.5375
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,505,0,0,200,0.34854771784232363,0.84,0.4926686217008797
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,505,1,1,200,0.34234234234234234,0.38,0.3601895734597157
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,505,2,2,200,0.6811594202898551,0.235,0.3494423791821561
ag_news,8,0.0,symmetric,trimmed_softmax_logreg,505,3,3,200,0.4444444444444444,0.06,0.10572687224669602
ag_news,8,0.05,class_conditional,linear_svm_hinge,101,0,World,200,0.3670886075949367,0.145,0.20788530465949823
ag_news,8,0.05,class_conditional,linear_svm_hinge,101,1,Sports,200,0.6018518518518519,0.325,0.4220779220779221
ag_news,8,0.05,class_conditional,linear_svm_hinge,101,2,Business,200,0.3898305084745763,0.69,0.4981949458483754
ag_news,8,0.05,class_conditional,linear_svm_hinge,101,3,Sci/Tech,200,0.3474903474903475,0.45,0.3921568627450981
