dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
ag_news,64,0.1,class_conditional,linear_svm_hinge,5,0.63175,0.047240078323389764,0.6170393947671906,0.05041970715722688
ag_news,64,0.1,class_conditional,multinomial_nb,5,0.72675,0.016707034446603642,0.7243101623206358,0.01932026163630463
ag_news,64,0.1,class_conditional,softmax_logreg,5,0.701,0.017055057900810522,0.6952851167744838,0.020720914066696714
ag_news,64,0.1,class_conditional,trimmed_softmax_logreg,5,0.57375,0.03760817730228361,0.5309406924118635,0.04922371748203681
ag_news,64,0.1,symmetric,linear_svm_hinge,5,0.65825,0.04300145346380745,0.6480556978167484,0.042097971111675056
ag_news,64,0.1,symmetric,multinomial_nb,5,0.7255,0.009239859306288171,0.724220103490431,0.009858942922842036
ag_news,64,0.1,symmetric,softmax_logreg,5,0.6990000000000001,0.01543939765664453,0.6944747169586518,0.015168630195372994
ag_news,64,0.1,symmetric,trimmed_softmax_logreg,5,0.581,0.041693824482769606,0.5373288544517867,0.05173401999877282
ag_news,64,0.2,class_conditional,linear_svm_hinge,5,0.63125,0.027076281133124613,0.6157289714263331,0.03482655235305738
ag_news,64,0.2,class_conditional,multinomial_nb,5,0.68525,0.0117366945943055,0.6823195260390766,0.013228942319112088
ag_news,64,0.2,class_conditional,softmax_logreg,5,0.66025,0.018798271197107454,0.6512518391964001,0.02235556369546612
ag_news,64,0.2,class_conditional,trimmed_softmax_logreg,5,0.5672499999999999,0.025228951623085725,0.5124884427065466,0.049032060847267196
ag_news,64,0.2,symmetric,linear_svm_hinge,5,0.5982500000000001,0.01231361035602476,0.5850481913756873,0.02283070294054098
ag_news,64,0.2,symmetric,multinomial_nb,5,0.673,0.014675660121439182,0.6720655305683424,0.016542511315278424
ag_news,64,0.2,symmetric,softmax_logreg,5,0.6402499999999999,0.038773380043529884,0.6323242586429346,0.0467158267612298
ag_news,64,0.2,symmetric,trimmed_softmax_logreg,5,0.49225,0.044401576548586646,0.4190898073233041,0.05276372536942046
ag_news,64,0.3,class_conditional,linear_svm_hinge,5,0.539,0.013214575286402514,0.5200928922370809,0.02392860471680032
ag_news,64,0.3,class_conditional,multinomial_nb,5,0.6275000000000001,0.031114707133444167,0.623135004110632,0.03277035189280717
ag_news,64,0.3,class_conditional,softmax_logreg,5,0.60175,0.04419841626121913,0.5878155797547796,0.049408045037308744
ag_news,64,0.3,class_conditional,trimmed_softmax_logreg,5,0.49524999999999997,0.04609365466091836,0.40566535146442373,0.07652825771924586
ag_news,64,0.3,symmetric,linear_svm_hinge,5,0.4965,0.04902422870377463,0.45080724159353397,0.03817541722253024
ag_news,64,0.3,symmetric,multinomial_nb,5,0.61925,0.028653097563788824,0.6194363357462892,0.029227672652855034
ag_news,64,0.3,symmetric,softmax_logreg,5,0.589,0.03771107264451649,0.5846479558233738,0.03961644259228892
ag_news,64,0.3,symmetric,trimmed_softmax_logreg,5,0.4665,0.042605750785545356,0.39825217822129194,0.051506714524375205
ag_news,128,0.0,class_conditional,linear_svm_hinge,5,0.747,0.016632047378479904,0.7417368401898861,0.01920464830102424
ag_news,128,0.0,class_conditional,multinomial_nb,5,0.799,0.011219402836158417,0.7976305657540543,0.011691413895946443
ag_news,128,0.0,class_conditional,softmax_logreg,5,0.77825,0.011390785749894543,0.7751598994763756,0.012418618559498154
