dataset,budget_per_class,noise_rate,noise_type,method,delta_accuracy_vs_clean,delta_macro_f1_vs_clean,macro_f1_slope_per_noise_rate
dbpedia_14,16,0.2,symmetric,linear_svm_hinge,-0.09814285714285709,-0.09736826257937192,-0.4868413128968596
dbpedia_14,16,0.2,symmetric,multinomial_nb,-0.08428571428571419,-0.09263310405109326,-0.4631655202554663
dbpedia_14,16,0.2,symmetric,softmax_logreg,-0.1755714285714285,-0.18749321666998275,-0.9374660833499138
dbpedia_14,16,0.2,symmetric,trimmed_softmax_logreg,-0.0990000000000002,-0.10320547620752785,-0.5160273810376392
dbpedia_14,16,0.3,class_conditional,linear_svm_hinge,-0.14949999999999997,-0.1688421796229349,-0.5628072654097831
dbpedia_14,16,0.3,class_conditional,multinomial_nb,-0.2015714285714285,-0.21982933605933097,-0.7327644535311033
dbpedia_14,16,0.3,class_conditional,softmax_logreg,-0.25142857142857133,-0.2837158161052825,-0.9457193870176084
dbpedia_14,16,0.3,class_conditional,trimmed_softmax_logreg,-0.1397142857142858,-0.15844690838095915,-0.5281563612698639
dbpedia_14,16,0.3,symmetric,linear_svm_hinge,-0.14721428571428552,-0.1385349046780987,-0.46178301559366236
dbpedia_14,16,0.3,symmetric,multinomial_nb,-0.13421428571428573,-0.14093719534966342,-0.46979065116554475
dbpedia_14,16,0.3,symmetric,softmax_logreg,-0.19635714285714279,-0.2159406698816264,-0.7198022329387548
dbpedia_14,16,0.3,symmetric,trimmed_softmax_logreg,-0.13521428571428584,-0.15778618918425497,-0.5259539639475166
dbpedia_14,64,0.05,class_conditional,linear_svm_hinge,-0.00021428571428583343,-0.0005901701746372501,-0.011803403492745002
dbpedia_14,64,0.05,class_conditional,multinomial_nb,-0.0119999999999999,-0.012579249669657622,-0.25158499339315243
dbpedia_14,64,0.05,class_conditional,softmax_logreg,-0.02114285714285713,-0.023108789336753977,-0.46217578673507953
dbpedia_14,64,0.05,class_conditional,trimmed_softmax_logreg,-0.0005714285714285561,0.010147232263419736,0.20294464526839473
dbpedia_14,64,0.05,symmetric,linear_svm_hinge,0.0039999999999998925,-0.001825203116120555,-0.0365040623224111
dbpedia_14,64,0.05,symmetric,multinomial_nb,-0.005928571428571394,-0.005965334913587861,-0.11930669827175722
dbpedia_14,64,0.05,symmetric,softmax_logreg,-0.011285714285714343,-0.011977727209571354,-0.23955454419142708
dbpedia_14,64,0.05,symmetric,trimmed_softmax_logreg,0.028000000000000025,0.04100345761194113,0.8200691522388226
dbpedia_14,64,0.1,class_conditional,linear_svm_hinge,-0.008785714285714286,-0.011391400312412037,-0.11391400312412037
dbpedia_14,64,0.1,class_conditional,multinomial_nb,-0.02307142857142852,-0.024071423560356076,-0.24071423560356076
dbpedia_14,64,0.1,class_conditional,softmax_logreg,-0.038142857142857145,-0.04229055295963491,-0.4229055295963491
dbpedia_14,64,0.1,class_conditional,trimmed_softmax_logreg,-0.025499999999999967,-0.017392090458971166,-0.17392090458971166
dbpedia_14,64,0.1,symmetric,linear_svm_hinge,-0.010142857142857231,-0.0182261315532819,-0.182261315532819
dbpedia_14,64,0.1,symmetric,multinomial_nb,-0.013214285714285623,-0.013479141216469315,-0.13479141216469315
dbpedia_14,64,0.1,symmetric,softmax_logreg,-0.03742857142857159,-0.03786054806613459,-0.3786054806613459
dbpedia_14,64,0.1,symmetric,trimmed_softmax_logreg,0.004785714285714282,0.03067181736987412,0.3067181736987412
dbpedia_14,64,0.2,class_conditional,linear_svm_hinge,-0.02207142857142863,-0.022477373300354708,-0.11238686650177354
dbpedia_14,64,0.2,class_conditional,multinomial_nb,-0.06499999999999984,-0.06771476851049152,-0.3385738425524576
