dataset,budget_per_class,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes
ag_news,8,0.05,class_conditional,linear_svm_hinge,303,32,800,4,0.03125,0.45875,0.4235923396094968,0.03419303894042969,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,class_conditional,linear_svm_hinge,404,32,800,4,0.0625,0.51625,0.5154657707780312,0.040372371673583984,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,class_conditional,linear_svm_hinge,505,32,800,4,0.03125,0.43375,0.39757199533488863,0.03716611862182617,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,class_conditional,multinomial_nb,101,32,800,4,0.03125,0.46,0.45099561642090197,0.04152083396911621,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,class_conditional,multinomial_nb,202,32,800,4,0.0625,0.50875,0.4986282722763049,0.03547954559326172,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,class_conditional,multinomial_nb,303,32,800,4,0.03125,0.515,0.5122073687147704,0.043431997299194336,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,class_conditional,multinomial_nb,404,32,800,4,0.0625,0.52625,0.5272463717627951,0.03429698944091797,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,class_conditional,multinomial_nb,505,32,800,4,0.03125,0.50625,0.5026159289966914,0.027906179428100586,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,class_conditional,softmax_logreg,101,32,800,4,0.03125,0.4275,0.41735766964109133,0.036940574645996094,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,class_conditional,softmax_logreg,202,32,800,4,0.0625,0.45125,0.435931040164721,0.033468008041381836,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,class_conditional,softmax_logreg,303,32,800,4,0.03125,0.49625,0.48724491686178784,0.04763031005859375,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,class_conditional,softmax_logreg,404,32,800,4,0.0625,0.5,0.501222869728812,0.03286266326904297,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,class_conditional,softmax_logreg,505,32,800,4,0.03125,0.46625,0.45177969079302716,0.044948577880859375,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,101,32,800,4,0.03125,0.4275,0.3673093971631206,0.04224681854248047,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,202,32,800,4,0.0625,0.41125,0.3496004781526866,0.03961348533630371,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,303,32,800,4,0.03125,0.43375,0.3773288963021106,0.03502678871154785,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,404,32,800,4,0.0625,0.4,0.33944530904283976,0.035869598388671875,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,class_conditional,trimmed_softmax_logreg,505,32,800,4,0.03125,0.395,0.32864473567269836,0.03576374053955078,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125
ag_news,8,0.05,symmetric,linear_svm_hinge,101,32,800,4,0.0625,0.37875,0.3615409498472084,0.04850959777832031,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,symmetric,linear_svm_hinge,202,32,800,4,0.0625,0.44375,0.43129573591287956,0.047467947006225586,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,symmetric,linear_svm_hinge,303,32,800,4,0.09375,0.45625,0.4263286953170757,0.05457806587219238,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,symmetric,linear_svm_hinge,404,32,800,4,0.03125,0.52375,0.5227081449902815,0.04169893264770508,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,symmetric,linear_svm_hinge,505,32,800,4,0.0625,0.43125,0.4055317475443585,0.0422513484954834,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,
ag_news,8,0.05,symmetric,multinomial_nb,101,32,800,4,0.0625,0.4425,0.439816294858479,0.031366586685180664,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,symmetric,multinomial_nb,202,32,800,4,0.0625,0.485,0.4739579391755455,0.03986406326293945,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,symmetric,multinomial_nb,303,32,800,4,0.09375,0.50625,0.4950203491057054,0.02775287628173828,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,symmetric,multinomial_nb,404,32,800,4,0.03125,0.535,0.5358602230319305,0.02745676040649414,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,symmetric,multinomial_nb,505,32,800,4,0.0625,0.49125,0.4803750648465703,0.04276776313781738,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,generative_nb,
ag_news,8,0.05,symmetric,softmax_logreg,101,32,800,4,0.0625,0.4,0.40119818287318404,0.03884530067443848,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,symmetric,softmax_logreg,202,32,800,4,0.0625,0.42375,0.4011132966094144,0.03552961349487305,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
ag_news,8,0.05,symmetric,softmax_logreg,303,32,800,4,0.09375,0.47,0.4506651984830964,0.043631792068481445,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,
