dataset,budget_per_class,noise_rate,noise_type,method,mean_macro_f1,delta_macro_f1_vs_clean
ag_news,128,0.05,class_conditional,trimmed_softmax_logreg,0.640947,-0.044807
ag_news,128,0.05,symmetric,linear_svm_hinge,0.726048,-0.015689
ag_news,128,0.05,symmetric,multinomial_nb,0.789503,-0.008128
ag_news,128,0.05,symmetric,softmax_logreg,0.762150,-0.013010
ag_news,128,0.05,symmetric,trimmed_softmax_logreg,0.636769,-0.048985
ag_news,128,0.1,class_conditional,linear_svm_hinge,0.658796,-0.082941
ag_news,128,0.1,class_conditional,multinomial_nb,0.776515,-0.021116
ag_news,128,0.1,class_conditional,softmax_logreg,0.759947,-0.015213
ag_news,128,0.1,class_conditional,trimmed_softmax_logreg,0.637303,-0.048451
ag_news,128,0.1,symmetric,linear_svm_hinge,0.681531,-0.060206
ag_news,128,0.1,symmetric,multinomial_nb,0.779216,-0.018414
ag_news,128,0.1,symmetric,softmax_logreg,0.752530,-0.022630
ag_news,128,0.1,symmetric,trimmed_softmax_logreg,0.601120,-0.084634
ag_news,128,0.2,class_conditional,linear_svm_hinge,0.632278,-0.109459
ag_news,128,0.2,class_conditional,multinomial_nb,0.724596,-0.073035
ag_news,128,0.2,class_conditional,softmax_logreg,0.697355,-0.077804
ag_news,128,0.2,class_conditional,trimmed_softmax_logreg,0.512889,-0.172865
ag_news,128,0.2,symmetric,linear_svm_hinge,0.643879,-0.097858
ag_news,128,0.2,symmetric,multinomial_nb,0.746636,-0.050995
ag_news,128,0.2,symmetric,softmax_logreg,0.708835,-0.066325
ag_news,128,0.2,symmetric,trimmed_softmax_logreg,0.506217,-0.179537
ag_news,128,0.3,class_conditional,linear_svm_hinge,0.600348,-0.141389
ag_news,128,0.3,class_conditional,multinomial_nb,0.654702,-0.142929
ag_news,128,0.3,class_conditional,softmax_logreg,0.651930,-0.123230
ag_news,128,0.3,class_conditional,trimmed_softmax_logreg,0.488060,-0.197694
ag_news,128,0.3,symmetric,linear_svm_hinge,0.515090,-0.226647
ag_news,128,0.3,symmetric,multinomial_nb,0.695119,-0.102512
ag_news,128,0.3,symmetric,softmax_logreg,0.670469,-0.104691
ag_news,128,0.3,symmetric,trimmed_softmax_logreg,0.457351,-0.228403
dbpedia_14,8,0.0,class_conditional,linear_svm_hinge,0.617503,0.000000
dbpedia_14,8,0.0,class_conditional,multinomial_nb,0.761650,0.000000
dbpedia_14,8,0.0,class_conditional,softmax_logreg,0.777192,0.000000
dbpedia_14,8,0.0,class_conditional,trimmed_softmax_logreg,0.615722,0.000000
dbpedia_14,8,0.0,symmetric,linear_svm_hinge,0.617503,0.000000
dbpedia_14,8,0.0,symmetric,multinomial_nb,0.761650,0.000000
dbpedia_14,8,0.0,symmetric,softmax_logreg,0.777192,0.000000
dbpedia_14,8,0.0,symmetric,trimmed_softmax_logreg,0.615722,0.000000
dbpedia_14,8,0.05,class_conditional,linear_svm_hinge,0.573854,-0.043649
dbpedia_14,8,0.05,class_conditional,multinomial_nb,0.712122,-0.049528
dbpedia_14,8,0.05,class_conditional,softmax_logreg,0.705954,-0.071238
dbpedia_14,8,0.05,class_conditional,trimmed_softmax_logreg,0.536465,-0.079257
dbpedia_14,8,0.05,symmetric,linear_svm_hinge,0.604582,-0.012921
dbpedia_14,8,0.05,symmetric,multinomial_nb,0.711291,-0.050360
dbpedia_14,8,0.05,symmetric,softmax_logreg,0.684463,-0.092729
dbpedia_14,8,0.05,symmetric,trimmed_softmax_logreg,0.522922,-0.092799
dbpedia_14,8,0.1,class_conditional,linear_svm_hinge,0.569159,-0.048344
dbpedia_14,8,0.1,class_conditional,multinomial_nb,0.662838,-0.098812
dbpedia_14,8,0.1,class_conditional,softmax_logreg,0.631597,-0.145595
dbpedia_14,8,0.1,class_conditional,trimmed_softmax_logreg,0.499333,-0.116389
dbpedia_14,8,0.1,symmetric,linear_svm_hinge,0.597326,-0.020178
dbpedia_14,8,0.1,symmetric,multinomial_nb,0.706652,-0.054998
dbpedia_14,8,0.1,symmetric,softmax_logreg,0.682911,-0.094281
dbpedia_14,8,0.1,symmetric,trimmed_softmax_logreg,0.525915,-0.089806
dbpedia_14,8,0.2,class_conditional,linear_svm_hinge,0.539888,-0.077615
dbpedia_14,8,0.2,class_conditional,multinomial_nb,0.618681,-0.142969
dbpedia_14,8,0.2,class_conditional,softmax_logreg,0.600573,-0.176619
dbpedia_14,8,0.2,class_conditional,trimmed_softmax_logreg,0.478070,-0.137652
dbpedia_14,8,0.2,symmetric,linear_svm_hinge,0.561593,-0.055910
dbpedia_14,8,0.2,symmetric,multinomial_nb,0.622939,-0.138711
dbpedia_14,8,0.2,symmetric,softmax_logreg,0.573401,-0.203791
dbpedia_14,8,0.2,symmetric,trimmed_softmax_logreg,0.449179,-0.166542
dbpedia_14,8,0.3,class_conditional,linear_svm_hinge,0.451674,-0.165829
dbpedia_14,8,0.3,class_conditional,multinomial_nb,0.483480,-0.278170
dbpedia_14,8,0.3,class_conditional,softmax_logreg,0.436843,-0.340350
dbpedia_14,8,0.3,class_conditional,trimmed_softmax_logreg,0.402687,-0.213035
dbpedia_14,8,0.3,symmetric,linear_svm_hinge,0.436050,-0.181453
dbpedia_14,8,0.3,symmetric,multinomial_nb,0.493398,-0.268252
dbpedia_14,8,0.3,symmetric,softmax_logreg,0.441852,-0.335341
dbpedia_14,8,0.3,symmetric,trimmed_softmax_logreg,0.414867,-0.200855
dbpedia_14,16,0.0,class_conditional,linear_svm_hinge,0.714865,0.000000
dbpedia_14,16,0.0,class_conditional,multinomial_nb,0.830403,0.000000
dbpedia_14,16,0.0,class_conditional,softmax_logreg,0.838229,0.000000
dbpedia_14,16,0.0,class_conditional,trimmed_softmax_logreg,0.604794,0.000000
dbpedia_14,16,0.0,symmetric,linear_svm_hinge,0.714865,0.000000
dbpedia_14,16,0.0,symmetric,multinomial_nb,0.830403,0.000000
