dataset,budget_per_class,noise_rate,noise_type,method,n_cells,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
trec_qc,16,0.1,symmetric,distilbert_base_uncased,5,0.19319999999999998,0.11254581289412771,0.1483751847631244,0.093882499613646
trec_qc,16,0.2,symmetric,distilbert_base_uncased,5,0.2052,0.05733550383488401,0.10769328960705767,0.030720856053835077
trec_qc,16,0.3,symmetric,distilbert_base_uncased,5,0.2528,0.15248134312105202,0.13889997881570773,0.10056015237346917
trec_qc,64,0.0,symmetric,distilbert_base_uncased,5,0.7224,0.04068218283229158,0.6627129418904946,0.04849786494092447
trec_qc,64,0.05,symmetric,distilbert_base_uncased,5,0.7140000000000001,0.05869241859047896,0.6584012161896295,0.06232316878589725
trec_qc,64,0.1,symmetric,distilbert_base_uncased,5,0.6856,0.07333648478076923,0.626501450383026,0.07547176171091334
trec_qc,64,0.2,symmetric,distilbert_base_uncased,5,0.5660000000000001,0.07872991807438899,0.5163245743788353,0.050403577330571235
trec_qc,64,0.3,symmetric,distilbert_base_uncased,5,0.5776,0.052221068545176275,0.5485183524933569,0.052711834666600614
trec_qc,128,0.0,symmetric,distilbert_base_uncased,5,0.8692,0.039040491800181,0.8338357643171846,0.05604069972315657
trec_qc,128,0.05,symmetric,distilbert_base_uncased,5,0.8572,0.04594953753847802,0.824188114396323,0.06027193612960561
trec_qc,128,0.1,symmetric,distilbert_base_uncased,5,0.8552,0.019041008376659063,0.8258582380994974,0.017782086274223945
trec_qc,128,0.2,symmetric,distilbert_base_uncased,5,0.836,0.03512264226962429,0.8098533159110902,0.04788686391022737
trec_qc,128,0.3,symmetric,distilbert_base_uncased,5,0.7991999999999999,0.04674355570557294,0.7644179231275193,0.06475423325470707
