dataset,budget_per_class,budget_train_total,noise_rate,noise_type,method,seed,n_train,n_test,num_classes,n_corrupt,actual_noise_fraction,accuracy,macro_f1,runtime_seconds,train_counts,source_kind,method_family,fit_notes,mask_sha256,sample_order_sha256
ag_news,8,32,0.05,class_conditional,softmax_logreg,404,32,800,4,2,0.0625,0.52625,0.5154876208854202,0.005973339080810547,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,c134b0ab94435b1d9a0d753cf6bd65135701ebf2ad96f864199ff219c57b5ae3,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.05,class_conditional,softmax_logreg,505,32,800,4,2,0.0625,0.42625,0.4067994257135168,0.0065915584564208984,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_probabilistic,,70dc1848fc32f3be7ecc80c5d158056ede3eeb95375570cc21c7c59044c2862e,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.05,class_conditional,trimmed_softmax_logreg,101,32,800,4,2,0.0625,0.37125,0.3104278150570514,0.008331298828125,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8438,71ae50dad8bb499e81962f1f48bb6c834197660af84c98d3a44ead9705d433f5,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.05,class_conditional,trimmed_softmax_logreg,202,32,800,4,2,0.0625,0.385,0.30306287349349087,0.008476018905639648,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,2606c097a9fb8c08a11e4f4882012028f5b9c89d03518519335e7fe24530726a,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.05,class_conditional,trimmed_softmax_logreg,303,32,800,4,2,0.0625,0.39625,0.3035437733941282,0.00820469856262207,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,0a05c6ad9098283a1edca1328f00533c0be05d624458ec2a7f9a4a590cf1807a,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
ag_news,8,32,0.05,class_conditional,trimmed_softmax_logreg,404,32,800,4,2,0.0625,0.40875,0.3242101376804781,0.008007287979125977,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,c134b0ab94435b1d9a0d753cf6bd65135701ebf2ad96f864199ff219c57b5ae3,f8fcff7c3634d23208f9b47c697ad349acf472c668b2d7a78465ffb4336502c7
ag_news,8,32,0.05,class_conditional,trimmed_softmax_logreg,505,32,800,4,2,0.0625,0.34125,0.2509980699865719,0.008885383605957031,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,bounded_robust_variant,kept_fraction=0.8125,70dc1848fc32f3be7ecc80c5d158056ede3eeb95375570cc21c7c59044c2862e,9c71a644fd5d582f75fd65cf287bfe2e7a1e0c612dd3f767b38577701daec9e9
ag_news,8,32,0.05,symmetric,linear_svm_hinge,101,32,800,4,2,0.0625,0.42875,0.396224786228485,0.007174968719482422,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,71ae50dad8bb499e81962f1f48bb6c834197660af84c98d3a44ead9705d433f5,4705d4da1d8997ad6a35cc774fb371f333e5e1aa51fcf9c2dece98dc6311c36e
ag_news,8,32,0.05,symmetric,linear_svm_hinge,202,32,800,4,2,0.0625,0.44,0.42677944027455983,0.007372379302978516,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,2606c097a9fb8c08a11e4f4882012028f5b9c89d03518519335e7fe24530726a,0a33e3249fd80fc726f36d830d5ab61c4a351f8746474b623f04374343daf2d9
ag_news,8,32,0.05,symmetric,linear_svm_hinge,303,32,800,4,2,0.0625,0.46,0.43898773882639863,0.007373332977294922,"{""0"": 8, ""1"": 8, ""2"": 8, ""3"": 8}",cached_setfit_jsonl,linear_margin,,0a05c6ad9098283a1edca1328f00533c0be05d624458ec2a7f9a4a590cf1807a,0930c861b052f66291544153a1ed33a62a46eff043c7e3eefa565490cf0e7c96
